title,apple_title,price,apple_price,rating,apple_ratings,apple_reviews,description,discount
"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)",Apple iPhone SE ,"₹54,900","54,900","1,54,645 Ratings & 12,015 Reviews","1,54,645 ","�12,015 ","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty for 1 Year",N/A
"Apple iPhone 15 Pro Max (Blue Titanium, 256 GB)",Apple iPhone 15 Pro Max ,"₹1,25,999","1,25,999","1,841 Ratings & 111 Reviews","1,841 ",�111 ,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",6% off
"Apple iPhone 14 Pro Max (Gold, 512 GB)",Apple iPhone 14 Pro Max ,"₹1,64,900","1,64,900","2,399 Ratings & 170 Reviews","2,399 ",�170 ,"512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone 13 (Midnight, 256 GB)",Apple iPhone 13 ,"₹59,900","59,900","2,85,380 Ratings & 13,737 Reviews","2,85,380 ","�13,737 ",256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,N/A
"Apple iPhone 11 (Yellow, 64 GB)",Apple iPhone 11 ,"₹19,999","19,999","2,05,533 Ratings & 11,431 Reviews","2,05,533 ","�11,431 ",64 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,54% off
"Apple iPhone 13 (Green, 512 GB)",Apple iPhone 13 ,"₹79,900","79,900","2,85,380 Ratings & 13,737 Reviews","2,85,380 ","�13,737 ",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,N/A
"Apple iPhone 13 Pro (Graphite, 128 GB)",Apple iPhone 13 Pro ,"₹1,19,900","1,19,900","1,605 Ratings & 127 Reviews","1,605 ",�127 ,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,N/A
"Apple iPhone 11 (Black, 128 GB) (Includes EarPods, Power Adapter)",Apple iPhone 11 ,"₹24,999","24,999","2,05,533 Ratings & 11,431 Reviews","2,05,533 ","�11,431 ",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,54% off
"Apple iPhone 14 Pro (Space Black, 128 GB)",Apple iPhone 14 Pro ,"₹1,19,900","1,19,900","2,188 Ratings & 153 Reviews","2,188 ",�153 ,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",N/A
"Apple iPhone SE (White, 256 GB)",Apple iPhone SE ,"₹54,900","54,900","1,54,645 Ratings & 12,015 Reviews","1,54,645 ","�12,015 ","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year",N/A
