title,price,fridge_price,rating,fridge_ratings,fridge_reviews,description,discount
Kelvinator 584 L Frost Free Side by Side Refrigerator,"₹57,643","57,643",N/A,#VALUE!,#VALUE!,inverterBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor,32% off
Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator,"₹18,817","18,817","8,203 Ratings & 836 Reviews","8,203",�836 ,DC Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,30% off
Whirlpool 200 L Direct Cool Single Door 4 Star Refrigerator,"₹17,590","17,590",9 Ratings & 0 Reviews,9,�0 ,inverter compressorsBuilt-in Stabilizer1 year Warranty on Product and 10 Years Warranty on Compressor from Whirlpool,30% off
Godrej 240 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,399","18,399",N/A,#VALUE!,#VALUE!,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,34% off
Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹16,999","16,999","5,533 Ratings & 628 Reviews","5,533",�628 ,Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from Haier,15% off
TOSHIBA 252 L Frost Free Double Door 2 Star Refrigerator,"₹24,999","24,999",N/A,#VALUE!,#VALUE!,DC Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Toshiba,13% off
Whirlpool 184 L Direct Cool Single Door 3 Star Refrigerator,"₹15,540","15,540",205 Ratings & 13 Reviews,205,�13 ,Non InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,19% off
TOSHIBA 272 L Frost Free Double Door 2 Star Refrigerator,"₹26,760","26,760",N/A,#VALUE!,#VALUE!,DC Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Toshiba,18% off
IFB 197 L Direct Cool Single Door 2 Star Refrigerator,"₹16,200","16,200",N/A,#VALUE!,#VALUE!,"Normal CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product, 10 Years Warranty on Compressor",15% off
TOSHIBA 272 L Frost Free Double Door 2 Star Refrigerator,"₹27,999","27,999",N/A,#VALUE!,#VALUE!,DC Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Toshiba,12% off
MarQ by Flipkart 90 L Direct Cool Single Door 1 Star Refrigerator,"₹8,490","8,490","3,561 Ratings & 385 Reviews","3,561",�385 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,43% off
