title,price,geyser_price,rating,geyser_rating,geyser_reviews,description,discount
"Venus 6 L Storage Water Geyser (Audra 06AV, White)","₹5,957","5,957",481 Ratings & 43 Reviews,481,�43 ,"Storage Geyser6 LGuarantee -7 Years on Inner Tank, 3 Years on Heating Element & 2 Years on Product",32% off
"Longway 15 L Storage Water Geyser (Superb, Ivory)","₹3,499","3,499","12,424 Ratings & 5,453 Reviews","12,424","�5,453 ",Storage Geyser15 L1 Year Limited Domestic Brand Warranty on Product & 5 Years on Inner Tank/Container.,54% off
"voltas 10 L Storage Water Geyser (Aqua M 10-L 5 star, Grey)","₹6,200","6,200",N/A,#VALUE!,#VALUE!,"Storage Geyser10 L7 Years Warranty on Tank, 3 Years Warranty on Heating Element and 2 Years Warranty on Product",43% off
"RR 10 L Storage Water Geyser (Supremo+ 10L, White)","₹5,699","5,699",62 Ratings & 2 Reviews,62,�2 ,"Storage Geyser10 L2 Year on Product, 3 Year on Heating Element, 6 Year on Tank",57% off
"Racold 1 L Storage Water Geyser (Pronto Neo 1 Litres 3Kw Vertical Instant Water Heater, White)","₹2,845","2,845",8 Ratings & 0 Reviews,8,�0 ,"Storage Geyser1 L2 years on product, 2 years on heating element and 5 years on tank",13% off
"HAVELLS 6 L Storage Water Geyser (FABIA, WHITE BLUE)","₹7,550","7,550",5 Ratings & 0 Reviews,5,�0 ,Storage Geyser6 L7 year warranty on inner container ; 4 year warranty on heating element ; 2 year comprehensive Warranty,17% off
"Haier 15 L Storage Water Geyser Shock Proof Voltage Fluctuation Proof (ES15V-EC-ED, White)","₹8,199","8,199","1,199 Ratings & 137 Reviews","1,199",�137 ,Storage Geyser15 L4 years on product 7 years on inner tank  buyer how to call customer care raise the complaint technician will come with in 48 hours  18002009999 -18001029999,21% off
"Haier 15 L Storage Water Geyser (ES15V-S1 Spa Mechanical With Incoloy 800 SS heating Element, Ivory)","₹9,270","9,270",N/A,#VALUE!,#VALUE!,"Storage Geyser15 L4 years on product, 4 years on heating element and 10 years on inner tank . During Installation Customer will choose to change interchange panel.2 others clr available.",48% off
"Khaitan 15 L Storage Water Geyser (KGz15M, Ivory)","₹5,000","5,000",N/A,#VALUE!,#VALUE!,Storage Geyser15 L1 year manufacturer warranty on  component,30% off
"Singer 15 L Storage Water Geyser (Water Geyser for Bathroom, White)","₹5,479","5,479",3 Ratings & 0 Reviews,3,�0 ,Storage Geyser15 LNA,42% off
"HAVELLS 10 L Storage Water Geyser (Adonia Spin, White Blue)","₹10,970","10,970",N/A,#VALUE!,#VALUE!,"Storage Geyser10 L2 Years Comprehensive Warranty, 4 Years Warranty on Heating Element and 7 Years Warranty on Inner Container",40% off
"Crompton 6 L Storage Water Geyser (Versa, White)","₹6,799","6,799",N/A,#VALUE!,#VALUE!,"Storage Geyser6 L5 Years Inner Tank, 2 Years Element, 2 Years Product",43% off
"V-Guard 6 L Gas Water Geyser (Safe-Flo Prime, White)","₹5,560","5,560",651 Ratings & 87 Reviews,651,�87 ,"Gas Geyser6 LWe undertake to repair this water heater free of charge for 2 years from the date of purchase against originally defective materials or workmanship, provided that the water heater is returned, freight paid, by the owner to our service center. However, the warranty does not cover damage/defect of any nature resulting from improper selection, installation, misuse, or repair effected by unauthorized persons",28% off
"Longway 25 L Storage Water Geyser (Arctic, White)","₹4,999","4,999",N/A,#VALUE!,#VALUE!,Storage Geyser25 L1 Year Limited Domestic Brand Warranty.,62% off
"Kanishka 25 L Storage Water Geyser (Lotus_25L_Electric_Geyser, White)","₹3,599","3,599",38 Ratings & 4 Reviews,38,�4 ,Storage Geyser25 L1 Year Manufacture Warranty on Components and 5 Years Warranty on Inner Container.,57% off
"AO Smith 25 L Storage Water Geyser (HAS-X1-025, White)","₹10,299","10,299",31 Ratings & 1 Reviews,31,�1 ,"Storage Geyser25 L2 Years Warranty on Product, 7 Years on Tank, 2 Years Extended Warranty on Heating Element",29% off
"V-Guard 3 L Instant Water Geyser (Vinsta 3L, White)","₹3,240","3,240",42 Ratings & 1 Reviews,42,�1 ,Instant Geyser3 L2 year warranty,28% off
"Haier 15 L Storage Water Geyser (ES15V-PRECIS, White)","₹7,990","7,990",N/A,#VALUE!,#VALUE!,Storage Geyser15 L1 year warranty,29% off
"FOUR STAR 1 L Instant Water Geyser (INSTANT WATER GEYSER, Yellow)","₹1,099","1,099",98 Ratings & 8 Reviews,98,�8 ,Instant Geyser1 L1 MONTH Limited Domestic Brand Warranty,56% off
"Paragon 2 L Instant Water Geyser (Portable Instant, White)","₹2,990","2,990",225 Ratings & 22 Reviews,225,�22 ,Instant Geyser2 L2 Years Replacement Warranty on Geyser,14% off
"CG 25 L Storage Water Geyser (Magnamix 25L Storage Water Geyser, White)","₹5,899","5,899",N/A,#VALUE!,#VALUE!,Storage Geyser25 L5 Year Inner Tank Warranty 2 Year Product Warranty,52% off
"Aulten 50 L Storage Water Geyser ({Stellar Pro} with Advanced Multi-Layered Safety Features, White)","₹8,349","8,349",N/A,#VALUE!,#VALUE!,"Storage Geyser50 L2 Year Replacement Warranty. In Case of Warranty Claims and After Sales Service, Contact The Customer Care No. 9811597709",66% off
