title,price,wm_price,rating,wm_ratings,wm_reviews,description,discount
Lloyd 7.5 kg Fully Automatic Top Load Washing Machine Black,"₹17,000","17,000",N/A,#VALUE!,#VALUE!,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor,37% off
Whirlpool 8 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹20,890","20,890",N/A,#VALUE!,#VALUE!,740 rpm Max Speed5 Star RatingWith In-Built Heater1 Year Comprehensive Warranty on Product and 10 Years Warranty on Motor,21% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...","₹40,990","40,990","13,226 Ratings & 1,011 Reviews","13,226","�1,011 ","1400 rpm Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",32% off
Khaitan Orfin 10.2 kg Semi Automatic Top Load Washing Machine Black,"₹15,899","15,899",N/A,#VALUE!,#VALUE!,1300 RPM Max Speed2 Years Warranty on Machine and 5 Years on Compressor From Khaitan Orfin,36% off
"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...","₹42,790","42,790",N/A,#VALUE!,#VALUE!,"1400 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support",19% off
"Whirlpool 9 kg Semi Automatic Top Load Washing Machine White, Maroon","₹18,600","18,600",140 Ratings & 11 Reviews,140,�11 ,1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years on Wash Motor and Prime Mover from Whirlpool,9% off
"SAMSUNG 13 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey, Black","₹46,999","46,999",N/A,#VALUE!,#VALUE!,700 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 20 Years Warranty on Digital Inverter Motor,21% off
Panasonic 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine with In-built Heater Silver,"₹27,529","27,529",3 Ratings & 2 Reviews,3,�2 ,702 RPM Max Speed5 Star RatingWith In-Built Heater2 Years On Product and 12 Years on Motor,30% off
BOSCH 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Red,"₹28,990","28,990",N/A,#VALUE!,#VALUE!,680 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 10 Years on Motor,16% off
Lloyd by Havells 7 kg Fully Automatic Top Load Washing Machine Grey,"₹22,390","22,390",342 Ratings & 30 Reviews,342,�30 ,680 rpm Max Speed5 Star Rating2 Years Comprehensive on Washing Machine and 10 Years on Motor from Lloyd,N/A
"Haier 9 kg Semi Automatic Top Load Washing Machine White, Pink","₹15,396","15,396",111 Ratings & 9 Reviews,111,�9 ,1300 RPM Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor from Haier,6% off
"SAMSUNG 7.5 kg Semi Automatic Top Load Washing Machine White, Blue, Grey","₹12,727","12,727",151 Ratings & 13 Reviews,151,�13 ,"740 rpm Max Speed2 years on product, 2 years on motor (T&C Apply)",2% off
"Lloyd by Havells 9 kg Semi Automatic Top Load Washing Machine White, Grey","₹14,699","14,699",49 Ratings & 5 Reviews,49,�5 ,600 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Motor from Lloyd,18% off
Thomson 7 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Blue,"₹7,590","7,590","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,27% off
VG 8 kg Semi Automatic Top Load Washing Machine Maroon,"₹9,790","9,790",N/A,#VALUE!,#VALUE!,1300 RPM Max Speed3 Star Rating1 Year Manufacturer Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,37% off
BLACK+DECKER 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹13,999","13,999",N/A,#VALUE!,#VALUE!,"700 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty, 10 Years Motor Warranty, 5 Years PCB Warranty and 10 Years Part Support.",50% off
Godrej 7 kg Fully Automatic Top Load Washing Machine Black,"₹17,090","17,090",N/A,#VALUE!,#VALUE!,720 RPM Max Speed5 Star Rating2 Years Complete,45% off
Whirlpool 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹39,159","39,159",N/A,#VALUE!,#VALUE!,1400 RPM Max Speed5 Star RatingWith In-Built Heater10 Years Warranty on Motor,21% off
Sharp 11 kg Fully Automatic Top Load Washing Machine Grey,"₹24,490","24,490",N/A,#VALUE!,#VALUE!,700 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years Warranty on Motor,26% off
"IFB 6 kg with Steam Wash, Aqua Energie, Anti-Allergen 4 years Comprehensive Warranty Fully Automatic F...","₹29,250","29,250",30 Ratings & 1 Reviews,30,�1 ,"1000 RPM Max Speed5 Star RatingWith In-Built Heater4 Years Comprehensive Warranty, 10 Years Motor Warranty, 10 Years Spares Support",18% off
Sharp 9 kg Fully Automatic Top Load Washing Machine Grey,"₹19,990","19,990",N/A,#VALUE!,#VALUE!,700 rpm Max Speed5 Star Rating2 Years Warranty on Product and 10 Years Warranty on Motor,29% off
