air conditioner,,,,,,,
title,price,ac_price,rating,ac_rating,ac_reviews,description,discount
Godrej Turbo Mode 2023 Model 1.5 Ton 5 Star Window Inverter Anti-Dust Filter with Anti-Freeze Thermost...,"₹32,890","32,890","1,037 Ratings & 89 Reviews","1,037 ",�89 ,Annual Power Usage: 1111.14 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,41% off
Lloyd 2023 Model 1.5 Ton 3 Star Window AC  - White,"₹29,350","29,350","2,055 Ratings & 262 Reviews","2,055 ",�262 ,Annual Power Usage: 1180.51 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,38% off
"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...","₹51,990","51,990",598 Ratings & 73 Reviews,598 ,�73 ,"Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 5 Years Warranty on ODU Casing and 10 Years Warranty on Compressor",28% off
Voltas 1 Ton 3 Star Split Inverter AC  - White,"₹30,999","30,999","15,528 Ratings & 785 Reviews","15,528 ",�785 ,Annual Power Usage: 669.81 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,45% off
"Midea 2023 Model 1.5 Ton 5 Star Split Inverter HD Filter with 2 Way Air Directional Control,Gear Funct...","₹37,990","37,990",763 Ratings & 100 Reviews,763 ,�100 ,Annual Power Usage: 754.05 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,44% off
Whirlpool 1 Ton 5 Star Split Inverter AC  - White,"₹31,990","31,990","22,115 Ratings & 2,843 Reviews","22,115 ","�2,843 ","Annual Power Usage: 560.34 kWhRoom Size: 90 sqft or Below1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",38% off
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,"₹41,990","41,990","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 774.19 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",33% off
Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 5 Star Split Inverter Xpandable plus Ambience...,"₹36,990","36,990","2,523 Ratings & 215 Reviews","2,523 ",�215 ,"Annual Power Usage: 533.61 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",40% off
"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...","₹44,490","44,490","4,053 Ratings & 280 Reviews","4,053 ",�280 ,"Annual Power Usage: 770.98 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Excluding Remote Handset)",39% off
Voltas 1.5 Ton 3 Star Window AC  - White,"₹30,490","30,490","10,293 Ratings & 904 Reviews","10,293 ",�904 ,Annual Power Usage: 1185.93 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,29% off
"Haier 1.6 Ton 5 Star Split Inverter with Anti Bacterial Filter, 60 High Ambient Performance, 20 Mtrs A...","₹42,990","42,990",162 Ratings & 27 Reviews,162 ,�27 ,Annual Power Usage: 836.95 WRoom Size: 151 - 200 sqft5 Years Warranty on Product and 12 Years Warranty on Compressor,43% off
LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 5 Star Split Inverter 4 Way Air Swing HD Filter with...,"₹39,790","39,790",627 Ratings & 51 Reviews,627 ,�51 ,"Annual Power Usage: 521.2 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)",47% off
"LG AI Convertible 6-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter 4 Way Swing, HD Filter with An...","₹54,990","54,990","40,211 Ratings & 3,623 Reviews","40,211 ","�3,623 ","Annual Power Usage: 1232.78 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging",36% off
"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...","₹32,990","32,990","1,295 Ratings & 129 Reviews","1,295 ",�129 ,Annual Power Usage: 925.24 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 12 Years Warranty on Compressor,48% off
Voltas 0.8 Ton 3 Star Split Inverter AC  - White,"₹26,990","26,990","15,528 Ratings & 785 Reviews","15,528 ",�785 ,Annual Power Usage: 534.21 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,50% off
Panasonic 7 in 1 Convertible 1.5 Ton 3 Star Split Inverter AC  - White,"₹36,790","36,790",598 Ratings & 73 Reviews,598 ,�73 ,"Annual Power Usage: 952.59 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on ODU Casting, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",32% off
Lloyd 2023 Model 2 Ton 5 Star Split Inverter AC  - White,"₹54,500","54,500","8,657 Ratings & 1,179 Reviews","8,657 ","�1,179 ",Annual Power Usage: 970.29 kWhRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,36% off
"Haier 1.5 Ton 3 Star Split Dual Inverter 5 in 1 Convertible with Micro Bacterial Filter, 54 High Ambie...","₹32,890","32,890","2,879 Ratings & 341 Reviews","2,879 ",�341 ,Annual Power Usage: 925.24 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 12 Years Warranty on Compressor,45% off
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...","₹42,990","42,990","40,211 Ratings & 3,623 Reviews","40,211 ","�3,623 ","Annual Power Usage: 685.26 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging",43% off
